Generation,Agent Count,Mutation Rate,Best fitness,Avg. Fitness,Max. step count,Finished count
73,100,0.02,0.02364792,0.02364489,600,0
74,100,0.02,3.10039900,2.77123600,600,93
75,100,0.02,0.00753277,0.00749821,600,0
76,100,0.02,0.05247547,0.05243295,600,0
77,100,0.02,0.10171730,0.09646025,600,0
78,100,0.02,0.04857685,0.04375521,600,0
79,100,0.02,1.40569600,1.18793200,600,84
80,100,0.02,0.09420807,0.08368408,600,0
81,100,0.02,0.24073730,0.09721112,600,0
82,100,0.02,0.01896156,0.01066043,600,0
83,100,0.02,0.02998769,0.02998765,600,0
84,100,0.02,0.02377702,0.02267097,600,0
85,100,0.02,0.07162366,0.06791908,600,0
86,100,0.02,2501.00000000,2501.00000000,600,100
87,100,0.02,2.20758400,1.88654900,600,87
88,100,0.02,1.94259600,1.91744900,600,99
89,100,0.02,0.70616070,0.61330570,600,0
90,100,0.02,0.01613154,0.01586441,600,0
91,100,0.02,1.70616500,1.52987700,600,91
